term_id,term_rank,term_str,n,num,stop,stem_porter,stem_snowball,stem_lancaster,pos_max,term_rank2
16098,178,room,338,0,0,room,room,room,NN,167
16393,179,saw,337,0,0,saw,saw,saw,VBD,168
2457,180,bulstrode,335,0,0,bulstrod,bulstrod,bulstrod,NNP,169
21105,181,whose,332,0,0,whose,whose,whos,WP$,170
4672,182,dear,331,0,0,dear,dear,dear,NN,171
485,183,against,331,0,1,against,against,against,IN,171
16312,184,same,329,0,1,same,same,sam,JJ,172
12911,185,once,328,0,1,onc,onc,ont,RB,173
14160,186,poor,325,0,0,poor,poor,poor,JJ,174
18739,187,tell,323,0,0,tell,tell,tel,VB,175
18939,188,thing,320,0,0,thing,thing,thing,NN,176
10950,189,let,317,0,0,let,let,let,VB,177
11562,190,mary,316,0,0,mari,mari,mary,NNP,178
2375,191,brooke,315,0,0,brook,brook,brook,NNP,179
17138,192,sir,312,0,0,sir,sir,sir,NNP,180
12074,193,moment,310,0,0,moment,moment,mom,NN,181
825,194,another,309,0,0,anoth,anoth,anoth,DT,182
8874,195,helen,309,0,0,helen,helen,hel,NNP,182
21107,196,why,307,0,1,whi,whi,why,WRB,183
10505,197,just,306,0,1,just,just,just,RB,184
7220,198,feeling,304,0,0,feel,feel,feel,NN,185
1677,199,because,299,0,1,becaus,becaus,becaus,IN,186
15007,200,quite,297,0,0,quit,quit,quit,RB,187
13355,201,part,291,0,0,part,part,part,NN,188
723,202,among,291,0,0,among,among,among,IN,188
19575,203,turned,291,0,0,turn,turn,turn,VBD,188
1881,204,between,290,0,1,between,between,between,IN,189
10899,205,left,288,0,0,left,left,left,VBD,190
870,206,anything,287,0,0,anyth,anyth,anyth,NN,191
21302,207,words,286,0,0,word,word,word,NNS,192
11020,208,light,286,0,0,light,light,light,NN,192
21306,209,work,286,0,0,work,work,work,NN,192
14898,210,put,285,0,0,put,put,put,VB,193
12846,211,off,283,0,1,off,off,off,RP,194
13627,212,perhaps,282,0,0,perhap,perhap,perhap,RB,195
11996,213,miss,282,0,0,miss,miss,miss,NNP,195
8784,214,head,281,0,0,head,head,head,NN,196
20825,215,want,281,0,0,want,want,want,VBP,196
8767,216,having,281,0,1,have,have,hav,VBG,196
9165,217,house,277,0,0,hous,hous,hous,NN,197
12558,218,night,273,0,0,night,night,night,NN,198
7360,219,find,273,0,0,find,find,find,VB,198
17039,220,side,272,0,0,side,side,sid,NN,199
7749,221,found,272,0,0,found,found,found,VBD,199
6978,222,face,271,0,0,face,face,fac,NN,200
9099,223,hope,270,0,0,hope,hope,hop,NN,201
21261,224,woman,269,0,0,woman,woman,wom,NN,202
8195,225,give,267,0,0,give,give,giv,VB,203
4224,226,course,267,0,0,cours,cours,cours,NN,203
16130,227,round,266,0,0,round,round,round,NN,204
10569,228,kind,265,0,0,kind,kind,kind,NN,205
